Age,Sleep_Duration,Study_Hours,Screen_Time,Caffeine_Intake,Physical_Activity,Sleep_Quality
18,5.9,1.2,3.6,5,83,10
18,5.3,5.4,2.3,4,87,6
20,7.6,9.1,1.5,3,113,10
23,6.5,4.2,1.0,1,85,8
19,4.4,8.0,2.7,0,92,4
22,5.1,9.5,2.6,2,85,2
21,7.4,11.1,3.2,5,43,5
19,4.4,2.8,3.7,0,8,2
25,8.3,4.8,1.2,5,36,2
23,6.5,1.8,3.2,2,73,6
25,6.4,11.9,1.6,2,35,10
24,7.0,11.1,3.6,1,100,9
21,8.1,6.5,3.5,1,91,4
24,5.7,10.1,2.6,0,27,6
20,7.4,6.3,3.1,5,41,7
25,6.8,7.5,1.9,2,42,6
20,5.3,1.1,2.4,0,84,8
18,8.4,9.1,3.5,3,87,4
24,8.0,1.5,2.4,0,41,1
23,7.3,9.9,2.1,4,103,7
25,8.3,9.4,2.5,0,65,3
22,8.3,8.5,3.5,4,54,6
21,7.5,0.4,2.0,4,71,2
19,8.2,3.6,1.5,4,47,9
23,7.5,3.2,3.1,3,90,1
23,7.4,4.3,3.5,0,21,6
20,7.1,1.1,1.3,0,100,6
24,7.8,11.2,1.7,3,26,5
25,4.8,6.6,1.4,2,120,5
25,8.4,3.7,2.0,1,92,1
18,8.4,4.8,2.4,0,66,10
18,4.1,5.4,3.2,1,107,5
21,8.1,7.2,3.0,5,12,2
20,4.6,6.2,2.9,5,44,7
23,5.7,11.0,2.1,3,9,3
25,7.7,6.0,3.5,5,99,4
22,4.8,11.9,2.4,5,8,3
20,8.1,10.2,3.9,2,53,3
21,8.2,2.5,2.9,2,119,4
21,6.5,11.2,1.4,2,118,5
20,4.0,1.4,3.0,5,26,1
21,5.4,9.8,2.0,3,33,4
20,7.1,4.6,3.1,4,114,8
19,8.9,10.5,1.2,4,0,10
20,7.2,10.4,1.5,1,31,7
24,5.3,9.7,3.6,4,88,9
20,7.2,9.5,1.7,4,92,5
21,6.7,3.7,3.5,2,70,10
25,7.9,1.0,1.8,2,112,4
24,4.5,4.8,2.9,5,66,8
21,7.8,2.1,3.1,1,83,9
18,6.7,8.3,2.5,0,19,7
18,8.8,4.2,1.9,1,116,7
25,5.7,11.7,1.6,1,93,5
25,7.2,7.7,1.1,3,34,4
24,8.7,9.9,1.9,5,98,10
19,4.5,1.6,3.0,3,112,1
25,8.7,10.3,3.8,1,102,10
18,7.4,11.1,3.6,1,90,10
20,4.3,5.8,3.3,1,89,7
21,5.5,7.3,3.4,4,77,1
18,7.5,9.2,3.0,3,16,1
18,4.3,2.1,1.8,1,17,5
19,6.9,6.0,3.7,2,44,9
24,5.7,4.8,3.0,5,115,6
24,7.1,1.8,2.7,5,92,3
23,4.2,4.4,1.3,2,83,3
19,8.4,0.8,2.3,5,52,7
20,8.9,0.3,2.4,4,90,6
24,8.8,1.6,3.6,4,81,9
21,7.7,11.6,2.6,0,67,6
25,4.7,6.6,2.1,0,64,5
19,7.8,11.6,3.9,0,113,10
25,4.1,5.2,1.3,5,0,7
18,4.1,3.7,2.3,4,57,1
21,5.6,6.1,1.1,4,25,7
21,6.4,5.3,3.2,4,108,3
18,7.9,1.3,3.8,2,19,9
19,7.4,7.7,1.8,4,115,6
18,6.2,2.6,3.6,2,86,9
25,5.4,7.4,1.9,0,9,5
23,9.0,7.8,3.7,0,58,7
21,6.1,1.8,3.3,5,74,4
22,6.3,0.7,3.4,0,40,7
22,4.8,9.4,1.1,5,104,1
25,8.0,5.5,3.9,1,4,7
20,7.5,0.7,3.2,1,64,8
24,5.1,11.9,1.9,3,16,5
18,4.4,0.7,3.5,5,21,2
18,7.4,8.3,1.8,3,97,5
20,7.3,11.8,3.6,3,119,6
20,5.4,2.9,1.3,1,108,2
25,8.8,1.7,3.1,5,40,6
25,4.8,1.5,2.6,1,92,6
20,6.2,3.6,1.3,3,67,1
21,8.7,1.2,1.7,5,68,1
25,6.1,8.3,1.0,3,10,10
23,7.2,0.7,2.4,4,55,3
25,6.0,6.1,1.9,5,50,10
18,5.4,12.0,2.8,5,20,10
25,8.9,9.8,1.9,3,98,3
21,6.0,7.4,1.9,4,75,4
20,8.5,3.7,3.2,2,25,2
18,5.1,7.5,1.1,1,114,9
25,5.1,6.3,3.7,3,18,10
21,4.2,5.1,3.6,5,108,7
23,7.3,1.6,3.0,1,59,7
25,5.8,10.6,2.8,1,70,6
21,8.3,5.4,3.7,1,46,3
23,6.4,2.3,1.6,2,118,6
20,8.8,4.4,1.2,0,70,8
25,4.9,5.0,1.7,3,25,8
23,8.3,9.9,3.4,0,39,9
18,7.9,8.8,1.1,0,4,1
20,7.9,9.2,2.7,0,20,1
18,8.2,0.1,4.0,1,77,3
22,7.8,5.0,3.6,4,3,3
19,7.1,5.8,2.6,1,22,10
25,4.7,0.2,1.2,1,105,8
23,4.2,3.1,3.5,5,83,10
19,8.6,9.1,2.8,5,14,1
19,7.1,1.6,1.3,0,113,2
23,8.0,6.4,1.3,1,115,2
20,6.4,2.6,3.7,0,108,3
25,4.6,0.1,3.0,5,92,6
22,4.6,2.9,3.5,4,7,1
18,7.4,11.7,3.6,3,40,2
21,6.2,9.6,2.7,0,111,1
18,5.0,11.5,2.6,4,18,5
21,6.5,5.9,2.3,3,111,7
18,4.3,1.3,2.0,2,102,8
23,6.9,6.6,2.3,0,45,10
22,5.3,5.5,3.3,0,27,1
25,8.0,10.1,2.8,2,109,7
21,5.6,1.2,3.7,2,120,5
25,6.3,5.9,2.3,0,90,10
25,4.1,1.8,2.8,2,67,1
25,4.4,3.9,2.9,1,14,3
24,6.0,8.8,2.8,3,98,7
20,6.4,5.7,3.1,3,36,10
18,7.0,4.5,1.7,3,0,1
25,5.5,4.7,2.5,1,66,7
18,7.5,5.5,1.3,2,110,5
25,8.3,9.4,2.2,4,23,1
21,7.9,10.7,2.5,2,26,1
20,4.2,11.5,3.0,0,39,1
20,6.4,9.4,3.9,5,62,9
23,4.5,3.8,2.8,3,60,3
24,5.2,8.3,3.2,2,35,5
23,8.9,5.3,2.5,4,97,10
23,4.7,3.1,2.9,0,92,9
23,6.5,10.1,1.2,1,23,6
23,7.1,0.5,1.8,1,23,9
23,7.5,10.8,2.1,4,105,8
22,6.8,5.5,2.4,0,3,8
20,4.0,7.6,1.1,3,66,1
23,5.6,7.9,1.4,2,33,9
25,6.6,10.7,1.8,0,56,6
20,4.4,7.6,3.9,1,48,9
20,5.8,7.4,2.0,4,86,3
19,4.2,0.8,2.4,4,52,3
22,4.4,6.2,1.6,2,119,6
23,6.0,1.8,2.8,4,115,9
18,4.7,8.8,1.8,4,22,7
21,6.8,6.1,1.6,0,108,3
24,7.4,8.2,2.5,3,68,3
25,8.0,0.5,1.0,2,94,2
18,5.0,1.0,1.0,0,52,9
22,4.8,8.6,1.7,3,61,3
21,4.5,0.9,1.1,0,40,5
22,7.2,0.9,1.3,5,56,9
25,7.5,0.1,2.0,0,120,8
20,4.2,11.5,3.4,4,59,2
21,8.7,8.9,2.7,3,53,3
20,4.3,4.2,2.5,2,69,2
25,6.7,3.6,1.9,2,100,8
18,7.5,4.2,3.8,3,56,6
25,8.4,9.3,2.2,4,9,6
18,7.6,7.9,1.3,1,39,9
21,8.0,2.2,2.9,0,6,8
21,5.7,2.1,1.3,4,102,4
23,8.1,1.2,2.0,5,37,4
22,4.4,7.9,2.5,3,84,9
23,8.5,9.2,3.6,0,60,1
22,6.7,3.2,2.5,2,83,2
23,8.1,0.3,3.1,1,2,2
20,6.3,1.0,4.0,5,50,6
21,7.2,11.6,1.4,2,85,4
18,6.6,3.5,1.8,3,46,10
22,7.7,9.2,2.2,0,67,3
25,4.4,7.5,2.3,3,91,3
22,4.3,4.6,2.2,0,75,3
18,5.2,2.5,3.7,4,37,6
23,4.8,1.5,3.1,1,114,8
22,8.4,7.4,2.8,4,35,7
24,5.1,9.3,1.9,4,110,4
20,8.9,7.7,3.5,3,40,4
21,5.7,6.4,3.9,1,68,10
18,4.9,0.5,3.5,0,12,2
21,7.9,11.6,1.0,0,86,1
